employer_description,industry
"Help our clients successfully manage global challenges Our Deloitte SAP team can help transform your organization and take it to new levels of performance with a suite of solutions centred on the leading-edge SAP S/4 HANA platform. How you can make an impact Deloitte Consulting is one of the fastest growing business consultancy firms in Switzerland. Deloitte offers a comprehensive internal and external training programmes Who we are looking for University degree e.g. Life at Deloitte As one of the leading global consulting and auditing companies, Deloitte is passionately committed to shaping the future. At Deloitte, you can make an impact that matters for our people, our clients and society. Want to know more about life at Deloitte? Deloitte AG and Deloitte Consulting AG are Swiss subsidiaries of Deloitte LLP, the DTTL member firm in the United Kingdom. Deloitte We work with you to plan and implement a full suite of solutions in areas such as enterprise transformation, finance, and supply chain, incorporating advanced technology applications such as artificial intelligence, blockchain, and IoT. Is business consultancy your kind of work? Then we're the right company for you. We take your further development seriously. Deloitte offers a comprehensive internal and external training programmes Who we are looking for University degree e.g. MSc in Management or Computer Science. Strong knowledge in Group Finance processes in particular in Consolidation and Reporting 2 - 5 years of practical experience in designing and implementing SAP EPM solutions A significant experience on a SAP Legacy consolidation solution implementation such as Financial Consolidation, ECCS, SEM-BCS, BPC Ideally a first experience on SAP S/4HANA for Group Reporting Experience in making recommendations for process improvements and transforming business requirements into best practice consolidation and reporting solutions Strong analytical capabilities and communication skills Business Proficiency in German is a plus Travel mobility, particularly within Switzerland Your team Become part of a diverse, multinational and highly motivated team in our Zurich office. Life at Deloitte As one of the leading global consulting and auditing companies, Deloitte is passionately committed to shaping the future. In Switzerland, we provide industry-specific services in the areas of Audit & Assurance, Consulting, Financial Advisory, Risk Advisory and Tax & Legal. With more than 2,000 employees at six locations in Basel, Berne, Geneva, Lausanne, Lugano and Zurich, we serve companies and organisations of all legal forms and sizes in all industry sectors. We offer an inclusive environment where you can grow your own way and build upon the purpose that drives you. Please click on “apply now” to submit a complete application, including CV, cover letter, references and degree certificates. We do not accept applications from recruitment agencies for this position. Deloitte AG and Deloitte Consulting AG are Swiss subsidiaries of Deloitte LLP, the DTTL member firm in the United Kingdom.",legal and consulting
"cashier, cashier, cashier, cashier, cashier, cooks, cooks, cooks, cooks, cocineros, cocineros, cook,cooks.cashiers, cashier, cashier.cashier cajeros cocineros WKS Restaurant Group is proud to be an Equal Opportunity Employer and committed to creating an inclusive environment for all employees. You can be a part of this amazing experience by joining the hottest team in the industry. Uses Micro's system to enter orders, corrects mistakes; communicates to manager when void occurs or problem arises. Collects payment, gives guest correct changes. Assists in training new cashiers Periodically performs additional duties as assigned by direct supervisor.","accommodation, hotel, restaurants and food service"
"Inoltre parteciperà alla manutenzione delle applicazioni già in uso e si occuperà anche della direzione progettuale, della ricezione delle richieste dei clienti, dell'analisi della documentazione esistente, dell'analisi di sistema e dell'elaborazione di casi d'uso (use-cases). Il settore Informatica DFAE della DR pianifica, gestisce e regolamenta tutte le incombenze IT in base alle esigenze del Dipartimento per la Svizzera e l'estero, con infrastrutture applicative e di comunicazione a livello mondiale nonché diverse migliaia di computer personali, stampanti e altri apparecchi periferici. L'Amministrazione federale è attenta alle necessità e ai diversi vissuti dei suoi collaboratori e ne apprezza la diversità.",public administration and international organizations
"Job Type: Temporary Contract  Primary Location: Toronto, Ontario, Canada  All Available Locations: Toronto; Calgary; Edmonton; Mississauga; Montreal; Ottawa; Vancouver    Our Purpose At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. In this role, you will be accountable for: Leading the execution of our culture and people strategy across defined strategic initiatives to support the achievement of our Category of One Strategy Provide direction, coaching, and support to team members deployed from a pool of flexible resources across multiple strategic initiatives to deliver on project outcomes Manage the development and implementation of a set of strategic initiatives aligned to our CCPO strategy, in collaboration with other leaders and stakeholders while applying an end user focused and data-driven approach to initiative design and execution  (examples of past initiatives would have included Upward Leader Feedback design and development, Celebrating Impact Recognition Program development and deployment, DE&I Strategic Hiring Initiative and Special Program Development, etc) Work collaboratively with diverse, multi-functional teams to ensure all projects make an impact that matter Provide thought leadership and contribute insights and ideas to support the design and delivery of strategic initiatives, including a willingness to challenge the status quo while drawing on relevant experience Scope and plan strategic initiatives appropriately to deliver on project objectives Conduct agile project management activities to support effective and efficient delivery About the team The Chief Culture and People Office (CCPO) delivers business-focused, efficient and innovative programs focused on bringing our “I could have only done it at Deloitte” people promise to life. They are what sets us apart and makes us Deloitte. Every day, we live our Purpose through the following five shared values: Lead the way: Deloitte is not only leading the profession, but reinventing it for the future. Serve with integrity: Deloitte has earned the trust of employees, clients, regulators, and the public for 175 years. At Deloitte, we are all about doing business inclusively – that starts with having diverse colleagues of all abilities. Deloitte encourages applications from all qualified candidates who represent the full diversity of communities across Canada. We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation for the recruitment process (including alternate formats of materials, accessible meeting rooms or other accommodations). By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally. Deloitte Canada has 30 offices with representation across most of the country. Job Type: Temporary Contract  Primary Location: Toronto, Ontario, Canada  All Available Locations: Toronto; Calgary; Edmonton; Mississauga; Montreal; Ottawa; Vancouver    Our Purpose At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Purpose defines who we are and gives us reason to exist as an organization. By living our Purpose, we will make an impact that matters. Be part of a firm that leads the way and pushes themselves to look like contemporary Canada. The Workplace Experience team is seeking a Senior Manager, Workplace Experience! The CCPO function consists of Business Experience (HR Business Partners), People Experience (HR Operations) and an agile Workplace Experience Centre of Expertise (CoE), supported by dedicated: Learning & Development; Partner & Alumni Experience; Diversity, Equity & Inclusion; Digital Experience; and, Culture & Change functions. They are what sets us apart and makes us Deloitte. Every day, we live our Purpose through the following five shared values: Lead the way: Deloitte is not only leading the profession, but reinventing it for the future. We’re also committed to creating opportunity and leading the way to a more sustainable world. Foster inclusion: We are at our best when we foster an inclusive culture and embrace diversity in all forms. The next step is yours   Sound like The One Firm. At Deloitte, we are all about doing business inclusively – that starts with having diverse colleagues of all abilities. We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation for the recruitment process (including alternate formats of materials, accessible meeting rooms or other accommodations). We’d love to hear from you! We acknowledge our offices reside on traditional, treaty and unceded territories as part of Turtle Island and is still home to many First Nations, Métis, and Inuit peoples. We are all Treaty people.",legal and consulting
Serves guests beverages breads and butter to begin their dining experience. What will I be doing? Since being founded in 1919 Hilton has been a leader in the hospitality industry. This continued leadership is the result of our Team Members staying true to our Vision Mission and Values. Integrity - We do the right thing all the time. Leadership - We're leaders in our industry and in our communities. Teamwork - We're team players in everything we do. wnership - We're the owners of our actions and decisions. Hilton is the leading global hospitality company spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels. And our amazing Team Members are at the heart of it all!,"accommodation, hotel, restaurants and food service"
"Earn Up To $5,000+/ Week Top Drivers Gross Up To $260,000 Yearly Earn Up To $1.48 CPM plus 100% of Fuel Surcharge 2,500-3,500 Miles Per Week No-Touch Freight Health Care Plans Available Maintenance Escrow 2nd Seat Driver Training Program (Available After One Year) Longevity Mileage Increases Plates, Permits, and Insurance Available Additional Incentives available for Hazmat, CA Driven Miles, Quarterly Safety Bonus and Winter Lane Vendor Discount Programs, including fuel discounts at major suppliers Requirements: Valid Class A CDL Must be at least 21 years of age or older At least 6 months of verifiable OTR experience in the last 3 years No more than 3 moving violations in the last 3 years About Ceva Logistics CEVA Logistics is positioned as a Leader in the Gartner 2021 Magic Quadrant Third-Party Logistics, Worldwide. NOW CONTRACTING CLASS A TRACTOR OWNER-OPERATORS! We are supply chain experts and live and breathe it every day. We offer a broad range of services in contract logistics, air, ocean, and ground management thanks to our 78,000 employees, operating in more than 160 countries. Think you're the perfect candidate? By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.",transportation and storage
"Line of Service Assurance  Industry/Sector Not Applicable  Specialism Assurance  Management Level Associate  Job Description & Summary A career within Risk Assurance Compliance and Analytics services, will provide you with the opportunity to assist clients in developing analytics and technology solutions that help them detect, monitor, and predict risk. Using advanced technology, we’re able to focus on establishing the right controls, processes and structures for our clients to ensure that decisions are based on accurate information and assure that information provided to third parties is accurate, complete, and can be trusted. Tes tâches   Tu participes à des mandats d'audit de processus métier et informatique dans le secteur bancaire où tu contribues au succès de l'équipe et travailles en étroite collaboration avec des experts reconnus. Tu interviens ponctuellement sur des mandats de conseil liés à la sécurité informatique, à la revue de projets informatiques (sélection de fournisseurs, migration de données, archivage électronique) et à l'évaluation de la qualité de données. Tu reçois des retours réguliers de la part de tes collègues et supérieurs te permettant de progresser en t'améliorant continuellement. Ton profil   Tu es titulaire, ou sur le point de l'être, d'un Bachelor ou d'un Master en informatique de gestion, en gestion d'entreprise ou en économie. Tu es de langue maternelle française et parles anglais couramment, l'italien est un atout. Tu as une connaissance ou un intérêt particulier pour le secteur bancaire. Tu as soif de connaissance, tu es curieux(se) et t'adaptes facilement. Tu as une perspective de carrière à long terme et souhaites progresser continuellement. Job Posting End Date",legal and consulting
"Work you'll do As a Workforce Strategies Manager, you will use your knowledge of workforce analytics, strategy, and program design and experience in the Higher Ed industry to deliver superlative results for our clients by: Leading your team to synthesize, design, and implement future-focused, strategic projects with high visibility and rapid results - focusing on evaluating sources of talent; and rethinking where work gets done, workplace infrastructure and the employee experience Managing all aspects of project delivery, including client relationship management, risk and issue management, and strategic communications Building your reputation within the firm and in the market for the strong Workforce Strategies knowledge and Higher Ed industry credibility you possess Forging strong relationships with both the clients and project teams that will contribute to your growth and development The Workforce Transformation team At Deloitte Consulting LLP, by helping our clients excel in Workforce Strategies, Rewards & Well-Being, Leadership & Succession, and Learning & Development, we empower HR to better support the business and create value. Working with Deloitte enables you to focus on building the capabilities in Workforce Strategies, Talent Acquisition, and Analytics needed to deliver for the future so that they don't get stale in the context of today's ever-evolving business demands. Work you'll do As a Workforce Strategies Manager, you will use your knowledge of workforce analytics, strategy, and program design and experience in the Higher Ed industry to deliver superlative results for our clients by: Leading your team to synthesize, design, and implement future-focused, strategic projects with high visibility and rapid results - focusing on evaluating sources of talent; and rethinking where work gets done, workplace infrastructure and the employee experience Managing all aspects of project delivery, including client relationship management, risk and issue management, and strategic communications Building your reputation within the firm and in the market for the strong Workforce Strategies knowledge and Higher Ed industry credibility you possess Forging strong relationships with both the clients and project teams that will contribute to your growth and development The Workforce Transformation team At Deloitte Consulting LLP, by helping our clients excel in Workforce Strategies, Rewards & Well-Being, Leadership & Succession, and Learning & Development, we empower HR to better support the business and create value. Qualifications Required: Bachelor's degree 8 years of workforce functions & processes experience Travel up to 50% (While up to 50% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.) Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future. Preferred: 8 years of consulting experience Demonstrated knowledge of workforce functions & processes within the Higher Ed industry, with experience in one or more of the following areas: Workforce Strategies, Workforce Capabilities, Talent Acquisition, Career Mobility, Diversity, Equity & Inclusion and/or Workforce & Talent Analytics Experience managing staff and leading small to medium sized teams Strong client presence with project management, presentation, and facilitation skills Ability to succeed in team-based or independent environments Well-organized with the ability to handle several projects/clients simultaneously Strong oral and written communication skills Ability to create and manage client relationships and develop business Dedicated work ethic with a commitment to client service excellence",legal and consulting
"Inoltre ti occuperai di: gestire tutte le attività ausiliarie al reparto panetteria attività d'inventario e magazzino carico e scarico merce per il rifornimento dei reparti collaborare insieme al team del negozio per fornire ai clienti un servizio d'eccellenza rispettare le norme vigenti in materia di salute e sicurezza sul lavoro Il tuo profilo A contribuire al successo di ALDI sono persone dinamiche e appassionate, che mettono il lavoro di squadra al primo posto e sanno trovare le soluzioni più efficienti. Altri benefit previsti da ALDI per tutti i collaboratori. ALDI COME DATORE DI LAVORO ALDI non è solo una realtà di riferimento della Grande Distribuzione a livello internazionale, ma soprattutto un’azienda che vuole offrire un ambiente di lavoro sereno e stimolante, nel quale ciascun collaboratore possa esprimere appieno le proprie potenzialità. , equità e pari opportunità sono molto importanti per noi di ALDI. Il team che opera all’interno del punto vendita rappresenta il biglietto da visita dell’azienda. Allestirai al meglio le promozioni e svolgerai attività di cassa. Inoltre ti occuperai di: gestire tutte le attività ausiliarie al reparto panetteria attività d'inventario e magazzino carico e scarico merce per il rifornimento dei reparti collaborare insieme al team del negozio per fornire ai clienti un servizio d'eccellenza rispettare le norme vigenti in materia di salute e sicurezza sul lavoro Il tuo profilo A contribuire al successo di ALDI sono persone dinamiche e appassionate, che mettono il lavoro di squadra al primo posto e sanno trovare le soluzioni più efficienti. Luogo di lavoro ​Via delle Langhe, 2, 12084 Mondovì CN, Italia​ Inizio dell'impiego ​da subito​ Candidatura online Tutte le informazioni e i dati forniti saranno trattati in ottemperanza alla legislazione vigente in materia di trattamento dei dati personali ai sensi del Regolamento europeo 2016/679 (“GDPR”). ALDI COME DATORE DI LAVORO ALDI non è solo una realtà di riferimento della Grande Distribuzione a livello internazionale, ma soprattutto un’azienda che vuole offrire un ambiente di lavoro sereno e stimolante, nel quale ciascun collaboratore possa esprimere appieno le proprie potenzialità. Questo è il nostro impegno, questo è il nostro obiettivo: crescere insieme, passo dopo passo.",wholesale and retail stores
Line of Service Tax Industry/Sector Not Applicable Specialism General Tax Consulting Management Level Manager Job Description & Summary Deine Aufgaben Du arbeitest in unserem etablierten Steuerteam in St. Gallen. Du bertst Unternehmen von familiengefhrten Schweizer KMU bis zu internationalen Firmen- sowie vermgende Privatkunden in Steuerbelangen und erarbeitest massgeschneiderte Lsungsvorschlge. Du entwickelst deine eigenen Fhrungsqualitten in einem dynamischen Team mit engagierten Mitarbeitern. Du besitzt mindestens 4 Jahre Berufserfahrung im Steuerumfeld in der Beratung. Du bernimmst die Fhrung deines Teams und die Verantwortung fr deinen Fachbereich und deine Projekte. Du stellst deinen Unternehmergeist und dein Knnen im Bereich Geschftsentwicklung unter Beweis.,legal and consulting
"About Four Seasons Hotel Hong Kong: In the very heart of the city and on the edge of Victoria Harbour, Four Seasons is surrounded by Hong Kong’s consummate business and leisure attractions. Whether you work with us, stay with us, live with us or discover with us, we believe our purpose is to create impressions that will stay with you for a lifetime.","accommodation, hotel, restaurants and food service"
"See job description for details Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. We Offer • An interesting and challenging role in Credit Risk Reporting and Analytics, focusing on the development and delivery of credit risk reports for the whole Credit Suisse Group • You will have the chance to take ownership of the reporting business process as well as data structure and data tables of various risk-reporting databases • You will be required to understand and monitor the data flows between relevant risk reporting systems • Develop and modify reports using Qlik Sense or other strategic platforms, in accordance with the relevant change control standards • Writing SQL queries in Oracle / Sybase / Microsoft Access to perform ad-hoc data analyses and tests as well as providing production support to business users of reporting tools • We are open to discuss flexible working hours! Credit Suisse is an equal opportunity employer. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse. We Offer • An interesting and challenging role in Credit Risk Reporting and Analytics, focusing on the development and delivery of credit risk reports for the whole Credit Suisse Group • You will have the chance to take ownership of the reporting business process as well as data structure and data tables of various risk-reporting databases • You will be required to understand and monitor the data flows between relevant risk reporting systems • Develop and modify reports using Qlik Sense or other strategic platforms, in accordance with the relevant change control standards • Writing SQL queries in Oracle / Sybase / Microsoft Access to perform ad-hoc data analyses and tests as well as providing production support to business users of reporting tools • We are open to discuss flexible working hours! Financial certifications like FRM or CFA would be an asset • Objective, results-oriented and teammate personality who enjoys collaborating with colleagues in a spirit of true partnership • Experience of report development in a financial institution is desirable but not mandatory • Business proficiency in English is a must • We are looking for a self-starter with a positive personality, committed to ongoing learning, who loves to share knowledge with others *LI-CSJOB* Ms. N. Schneider would be delighted to receive your application. Credit Suisse is an equal opportunity employer.",financial and insurance
"Berater/in Institutionelle Kunden, Chur (100%) Graubündner Kantonalbank | online seit: 30.03.2021 Setzen Sie Ihre Akquisitions- und Beratungskompetenz und Ihr Flair für Finanzmärkte in einem kleinen Team für den Ausbau und die Bedürfnisse unseres institutionellen Kundensegments ein. Berater/in Institutionelle Kunden, Chur (100%) Graubündner Kantonalbank | online seit: 30.03.2021 Setzen Sie Ihre Akquisitions- und Beratungskompetenz und Ihr Flair für Finanzmärkte in einem kleinen Team für den Ausbau und die Bedürfnisse unseres institutionellen Kundensegments ein. Erstklassige Betreuung und Beratung sowie Entwicklung unserer Institutionellen Kunden Aktiver Ausbau der bestehenden Kundenpositionen und Umsetzen der Vertriebsmassnahmen zur erfolgreichen Neukundengewinnung Professioneller Ansprechpartner für (Neu-)Kunden von strategischen Fragen bis zur täglichen operativen Abwicklung der individuellen Bedürfnisse Fundierte Bankausbildung (Lehre oder Praktikum) Idealerweise ergänzt mit einer höheren Ausbildung in betriebswirtschaftlicher bzw. Nähere Angaben zu dieser Stelle und unsere moderne und verantwortungsvolle Bank erhalten Sie von René Ebert, Leiter Institutionelle Kunden, Telefon 081 256 96 38.",public administration and international organizations
"Your team designs and builds the hardware, software and networking technologies that power all of Google's services. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. You will collaborate with Product, Test, and Manufacturing Engineering teams to deploy end-to-end manufacturing solutions.Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Minimum qualifications: Bachelor's degree in Computer Science, Electrical Engineering, or equivalent practical experience. Preferred qualifications: Master's degree in Electrical Engineering, Computer Science, or a related field. Knowledge of Android Architecture, Android boot process, Kernel, Core Board Support Package (BSP), or Android performance. In this role, you will help to integrate System on Chip (SoC) technologies into mobile phones, tablets, and laptops. You will collaborate with Product, Test, and Manufacturing Engineering teams to deploy end-to-end manufacturing solutions.Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Design and implement test infrastructure for validation and High Volume Manufacturing (HVM). Design and develop test sequencer, data parsers, and data analytic tools. Develop hardware Application Programming Interface (API) drivers for bench/test equipment.",information and communication
"Carbònic Restaurant abrió sus puertas en julio de 2022. EMPRESA: ¡Ampliamos equipo! En poco tiempo se ha convertido en un referente en Salou y la Costa Dorada. Carbònic está en búsqueda del mejor talento para ofrecer el mejor servicio. · Llevar a cabo todas las elaboraciones de los platos siguiendo los estándares de presentación y elaboración marcados. · Leer los pedidos y comprender las instrucciones del Jefe de Cocina. LO QUE BUSCAMOS: · Experiencia previa demostrable en restaurantes a la carta · Saber trabajar en equipo y capacidad de adaptación a los cambios. · Persona activa, con actitud positiva y personalidad extrovertida. · Que sea extremadamente ordenada y limpia en su puesto de trabajo. LO QUE OFRECEMOS: · Contrato indefinido o fijo discontinuo según disponibilidad. · Trabajar con un equipo de personas joven y dinámico.","accommodation, hotel, restaurants and food service"
"Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse.We OfferA meaningful role in a diverse environment within the Group Risk Reporting RDM team, which represents the interests of the RDM department globally, improves the accurate representation of RDM and the Global Risk Reporting team across various change program deliverablesBeing a part of our team, you will contribute to report preparation, analysis, review, and partner management for Group Credit RiskYou will contribute to senior level Credit Risk Reporting, understand and articulate the drivers of risk metrics in these reports, review or provide commentary aimed at providing a meaningful insight into our reported risk metricsEngage proactively with our stakeholders in the Group Credit Risk to build a trusted partnership.You will also be required to support the review of the Risk Management Committee reporting primarily with a focus on Credit Risk with exposure to other risk types such as Market, Liquidity Risk, Economic Risk Capital as well as Stress and Scenarios metricKnowledge and awareness of these metrics together with financial capital adequacy metrics would be an asset to the team, as well as a keen eye for detail.In addition to the above, we offer you the chance to support our growing engagement with the Change function, as well as program delivery responsibilities within the risk areaWe offer opportunities to engage in key programs to leverage programming capabilities extensively and deliver high impact automation solutionsYou OfferExperience with report building using Qlik Technology including Qlik Sense (scripting, data source integration and advanced GUI development), QlikView and NPrinting is a requirement to have. FRM, CFA) would be desirableProfessional experience in a risk or finance function, credit risk knowledge of investment and private banking products, understanding of multiple risk metrics (credit and/or market risk), as well as data interrogation and reporting skillsProficiency in Business Intelligence, Excel, Access, visualization tools (Qlik & Tableau) and experience of banking data and risk systemsProficiency in SQL and BI Security Model, ability to design solutions by doing POCs/mockups on complex requirementsYou are committed to collaborating with our senior management, build trusted partnerships and deliver relevant solutionsYou are driven by your objectives, ambitious, and a committed personality that enjoys collaborating with colleaguesExcellent analytical and interpersonal skills and business proficiency in German and EnglishYou are a self-starter with a positive personality, dedicated to ongoing learning, and you love to share your knowledge with othersMs N. Schneider would be delighted to receive your application.Please apply via our career-portal.Credit Suisse is an equal opportunity employer. Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. We are Credit Suisse.We OfferA meaningful role in a diverse environment within the Group Risk Reporting RDM team, which represents the interests of the RDM department globally, improves the accurate representation of RDM and the Global Risk Reporting team across various change program deliverablesBeing a part of our team, you will contribute to report preparation, analysis, review, and partner management for Group Credit RiskYou will contribute to senior level Credit Risk Reporting, understand and articulate the drivers of risk metrics in these reports, review or provide commentary aimed at providing a meaningful insight into our reported risk metricsEngage proactively with our stakeholders in the Group Credit Risk to build a trusted partnership.You will also be required to support the review of the Risk Management Committee reporting primarily with a focus on Credit Risk with exposure to other risk types such as Market, Liquidity Risk, Economic Risk Capital as well as Stress and Scenarios metricKnowledge and awareness of these metrics together with financial capital adequacy metrics would be an asset to the team, as well as a keen eye for detail.In addition to the above, we offer you the chance to support our growing engagement with the Change function, as well as program delivery responsibilities within the risk areaWe offer opportunities to engage in key programs to leverage programming capabilities extensively and deliver high impact automation solutionsYou OfferExperience with report building using Qlik Technology including Qlik Sense (scripting, data source integration and advanced GUI development), QlikView and NPrinting is a requirement to have. FRM, CFA) would be desirableProfessional experience in a risk or finance function, credit risk knowledge of investment and private banking products, understanding of multiple risk metrics (credit and/or market risk), as well as data interrogation and reporting skillsProficiency in Business Intelligence, Excel, Access, visualization tools (Qlik & Tableau) and experience of banking data and risk systemsProficiency in SQL and BI Security Model, ability to design solutions by doing POCs/mockups on complex requirementsYou are committed to collaborating with our senior management, build trusted partnerships and deliver relevant solutionsYou are driven by your objectives, ambitious, and a committed personality that enjoys collaborating with colleaguesExcellent analytical and interpersonal skills and business proficiency in German and EnglishYou are a self-starter with a positive personality, dedicated to ongoing learning, and you love to share your knowledge with othersMs N. Schneider would be delighted to receive your application.Please apply via our career-portal.Credit Suisse is an equal opportunity employer.",financial and insurance
"Microsoft Azure Storage is a highly distributed, massively scalable, and ubiquitously accessible cloud storage platform. Within Azure Storage, the Ultra Disk team (https://azure.microsoft.com/en-us/blog/announcing-the-general-availability-of-azure-ultra-disk-storage/) provides next-generation block storage platform for the most demanding cloud storage workloads. Microsoft Azure Storage is a highly distributed, massively scalable, and ubiquitously accessible cloud storage platform. Azure storage already runs at Exascale (storing Exabytes of data) and we will scale our designs over the next decade to support Zettascale (storing Zettabytes of data).",information and communication
"Description du poste Für jeden Geschmack ein Erlebnis - mit rund 200 Standorten sind wir eine der grössten Gastronomieanbieter der Schweiz. Mit täglich wechselnden und unterschiedlichsten Gerichten - von gut bürgerlich über vegetarisch oder vegan bis zu Spezialangeboten auf Grill-, Wok-, Pasta- oder Pizzastationen - begeistern wir unsere Gäste immer wieder aufs Neue. Steckbrief Vertrag unbefristet Fachrichtung Gastronomie / Hotellerie Arbeitsort Chur - Raschärenstrasse 35 Stellenantritt per sofort oder nach Vereinbarung Pensum 8 - 20 Std./Woche Aufgaben In der Funktion als Mitarbeiterin / Mitarbeiter Gastronomie sind Sie verantwortlich für die Beratung sowie die Bedienung unserer Gäste am Buffet, die Gästebetreuung an der Kasse sowie die Pflege der Verkaufsbuffets und der Sicherstellung der korrekten Warenpräsentation.",wholesale and retail stores
"Nestlé Waters, filiale de Nestlé, est le n° 1 mondial des eaux en bouteille. Nous sommes présents dans la plupart des réseaux de distribution avec un portefeuille riche de 51 marques prestigieuses comme notre première marque d'eaux en bouteille Nestlé Pure Life, ou Perrier et San Pellegrino. Vos missions au quotidien : * Gérer les dossiers export et suivre l'acheminement des marchandises dans le respect de la réglementation en vigueur, de la création des bookings maritimes jusqu'à la livraison des conteneurs sur les terminaux d'embarquement (route/ferroviaire) puis jusqu'aux ports de destination (maritime).","arts, entertainment and recreation"
"Your ability to lead and take a proactive approach in managing partner relationships to balance both Logitech and partner goals will help ensure long-term success of the business. This experienced hands-on supply chain professional will be the Logitech supply chain operations interface with North America e-tailers, retailers and distribution customers. These are the behaviors you’ll need for success at Logitech. In this role you will: Responsible for supply chain processes that support demand planning activities, inventory management and demand fulfillment for all Logitech product categories with major retail and distribution accounts Lead and drive compelling Collaborative Planning, Forecasting and Replenishment (CPFR) conversations. Analyze ad plans, events, sales, inventory, pricing, market conditions and growth projections to develop a forecast plan in collaboration with accounts Advocate for the account by providing feedback, analysis and data on the state of the business to ensure the correct business decisions are made in a timely manner Partner with account and sales organizations to report on and facilitate attainment of quarterly revenue objectives Serve as primary supply chain interface for the account to address performance, manage improvement initiatives, performance inhibitors within their supply chain network and drive execution of Vendor Compliance requirements Proactively facilitate and drive cross-functional engagement to resolve operational issues and improve channel partner experience Manage, analyze, and report metrics and trends to drive with the account and/or internal organizations, actions to optimize supply chain performance                                                                                                                                                                  Key Qualifications: For consideration, you must bring the following minimum skills and behaviors to our team: More than 8 years of supply chain/operations experience of North America eTail/Retail/ Distribution channels Excellent relationship building skills with internal and external partners Strong communication and influencing skills Strong leadership skills including teambuilding and conflict management and resolution Thorough knowledge of forecasting and inventory modeling Excellent understanding of supplier and channel supply chains Strong knowledge and understanding of how to analyze business problems including driving best practices Knowledge of key retail service level metrics such as In-Stock, Fill Rate and Delivery Performance In addition, preferable skills and behaviors include: Project management skills with capability to manage cross functional teams Experience with a Vendor Managed Inventory model/relationship Location: Minneapolis and Arkansas surrounding areas preferred Education: Bachelor’s degree required Logitech is the sweet spot for people who are passionate about products, making a mark, and having fun doing it. The Role: You have a passion to meet the needs of our channel partners. This experienced hands-on supply chain professional will be the Logitech supply chain operations interface with North America e-tailers, retailers and distribution customers. Decide and just Do. In this role you will: Responsible for supply chain processes that support demand planning activities, inventory management and demand fulfillment for all Logitech product categories with major retail and distribution accounts Lead and drive compelling Collaborative Planning, Forecasting and Replenishment (CPFR) conversations. As a company, we’re small and flexible enough for every person to take initiative and make things happen.",information and communication
